"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2022","591.38","594.38","600.50","590.00","-","-0.44%"
"Jul 19, 2022","594.00","608.00","608.12","586.38","-","-2.82%"
"Jul 18, 2022","611.25","608.00","623.38","601.38","-","0.22%"
"Jul 17, 2022","609.88","609.88","609.88","609.88","-","1.02%"
"Jul 15, 2022","603.75","603.00","609.50","595.00","-","-0.21%"
"Jul 14, 2022","605.00","602.25","613.00","595.50","-","0.83%"
"Jul 13, 2022","600.00","594.00","612.75","584.75","-","1.01%"
"Jul 12, 2022","594.00","637.00","641.75","591.25","-","-6.75%"
"Jul 11, 2022","637.00","655.00","667.00","634.25","-","-18.15%"
"Jul 08, 2022","778.25","750.75","781.00","744.00","-","4.18%"
"Jul 07, 2022","747.00","749.50","763.50","740.00","0.78K","0.37%"
"Jul 06, 2022","744.25","746.00","761.00","726.00","2.70K","1.12%"
"Jul 05, 2022","736.00","750.25","765.00","726.00","3.78K","-2.45%"
"Jul 01, 2022","754.50","748.00","760.00","743.75","5.49K","1.45%"
"Jun 30, 2022","743.75","770.00","775.25","742.25","14.48K","-3.44%"
"Jun 29, 2022","770.25","758.25","780.00","755.50","63.70K","1.42%"
"Jun 28, 2022","759.50","747.50","762.75","744.25","86.04K","2.05%"
"Jun 27, 2022","744.25","740.00","746.25","731.00","121.83K","-0.80%"
"Jun 24, 2022","750.25","745.00","762.25","735.00","155.99K","0.47%"
"Jun 23, 2022","746.75","767.25","767.25","734.50","215.84K","-2.77%"
"Jun 22, 2022","768.00","762.00","770.50","754.50","167.78K","0.95%"
"Jun 21, 2022","760.75","777.50","778.25","752.25","192.14K","-3.03%"
"Jun 17, 2022","784.50","787.50","800.00","782.25","116.06K","-0.48%"
"Jun 16, 2022","788.25","774.00","792.00","773.00","121.54K","1.84%"
"Jun 15, 2022","774.00","767.00","779.75","762.00","105.91K","0.75%"
"Jun 14, 2022","768.25","765.75","771.00","759.00","125.80K","-0.13%"
"Jun 13, 2022","769.25","781.00","782.25","758.50","170.04K","-0.52%"
"Jun 10, 2022","773.25","772.25","781.00","765.75","156.10K","0.03%"
"Jun 09, 2022","773.00","764.50","782.75","758.00","226.33K","1.11%"
"Jun 08, 2022","764.50","757.00","774.00","756.00","223.85K","0.99%"
"Jun 07, 2022","757.00","739.00","765.00","735.00","227.58K","1.95%"
"Jun 06, 2022","742.50","732.25","744.25","731.50","131.92K","2.13%"
"Jun 03, 2022","727.00","730.25","736.00","725.75","105.54K","-0.45%"
"Jun 02, 2022","730.25","731.25","739.25","726.25","127.14K","-0.14%"
"Jun 01, 2022","731.25","753.75","756.25","720.50","210.39K","-2.95%"
"May 31, 2022","753.50","777.00","777.25","747.25","175.46K","-2.85%"
"May 30, 2022","775.62","776.00","777.12","775.62","-","-0.21%"
"May 27, 2022","777.25","765.00","780.50","761.00","101.09K","1.60%"
"May 26, 2022","765.00","762.75","772.50","757.50","104.92K","-0.94%"
"May 25, 2022","772.25","770.00","773.00","755.00","127.43K","0.06%"
"May 24, 2022","771.75","785.00","787.00","762.00","147.02K","-1.84%"
"May 23, 2022","786.25","780.25","788.00","774.50","88.36K","0.96%"
"May 20, 2022","778.75","781.25","782.00","774.50","88.00K","-0.57%"
"May 19, 2022","783.25","782.00","789.75","773.25","106.42K","0.22%"
"May 18, 2022","781.50","800.75","802.25","778.00","120.12K","-2.40%"
"May 17, 2022","800.75","808.00","809.25","797.25","98.32K","-1.08%"
"May 16, 2022","809.50","795.00","810.25","792.75","138.86K","1.89%"
"May 13, 2022","794.50","808.00","808.00","808.00","0.03K","-2.34%"
"May 12, 2022","813.50","802.50","814.00","798.75","0.91K","1.40%"
"May 11, 2022","802.25","788.00","802.75","788.00","0.65K","2.00%"
"May 10, 2022","786.50","787.50","790.75","782.50","0.60K","0.25%"
"May 09, 2022","784.50","792.25","792.25","782.00","0.75K","-0.98%"
"May 06, 2022","792.25","800.00","800.00","784.25","1.25K","-1.43%"
"May 05, 2022","803.75","799.75","804.75","796.00","0.41K","0.66%"
"May 04, 2022","798.50","801.00","808.75","796.00","1.27K","-0.28%"
"May 03, 2022","800.75","817.50","822.00","799.75","2.21K","-1.51%"
