DATE,ECBASSETSW
2014-02-07,2190338.0
2014-02-14,2190099.0
2014-02-21,2184848.0
2014-02-28,2181079.0
2014-03-07,2172324.0
2014-03-14,2167771.0
2014-03-21,2166080.0
2014-03-28,2152103.0
2014-04-04,2160987.0
2014-04-11,2169081.0
2014-04-18,2167801.0
2014-04-25,2169061.0
2014-05-02,2217128.0
2014-05-09,2167718.0
2014-05-16,2185009.0
2014-05-23,2163727.0
2014-05-30,2197095.0
2014-06-06,2172316.0
2014-06-13,2124281.0
2014-06-20,2079975.0
2014-06-27,2088099.0
2014-07-04,2070293.0
2014-07-11,2057083.0
2014-07-18,2062474.0
2014-07-25,2044312.0
2014-08-01,2059683.0
2014-08-08,2025258.0
2014-08-15,2023176.0
2014-08-22,2013019.0
2014-08-29,2038716.0
2014-09-05,2012130.0
2014-09-12,2003802.0
2014-09-19,1988153.0
2014-09-26,2038235.0
2014-10-03,2053668.0
2014-10-10,2042685.0
2014-10-17,2029725.0
2014-10-24,2032783.0
2014-10-31,2052070.0
2014-11-07,2029737.0
2014-11-14,2028156.0
2014-11-21,2033165.0
2014-11-28,2053892.0
2014-12-05,2038091.0
2014-12-12,2034746.0
2014-12-19,2134802.0
2014-12-26,2150247.0
2015-01-02,2215995.0
2015-01-09,2168821.0
2015-01-16,2158222.0
2015-01-23,2159796.0
2015-01-30,2181954.0
2015-02-06,2150212.0
2015-02-13,2153125.0
2015-02-20,2167794.0
2015-02-27,2155836.0
2015-03-06,2134819.0
2015-03-13,2142116.0
2015-03-20,2157841.0
2015-03-27,2250801.0
2015-04-03,2334126.0
2015-04-10,2348963.0
2015-04-17,2344062.0
2015-04-24,2360790.0
2015-05-01,2372553.0
2015-05-08,2377854.0
2015-05-15,2388627.0
2015-05-22,2402553.0
2015-05-29,2416666.0
2015-06-05,2428326.0
2015-06-12,2442098.0
2015-06-19,2451947.0
2015-06-26,2539544.0
2015-07-03,2497003.0
2015-07-10,2508195.0
2015-07-17,2518972.0
2015-07-24,2525159.0
2015-07-31,2536592.0
2015-08-07,2536634.0
2015-08-14,2541947.0
2015-08-21,2549254.0
2015-08-28,2558780.0
2015-09-04,2568311.0
2015-09-11,2587280.0
2015-09-18,2602314.0
2015-09-25,2620631.0
2015-10-02,2626835.0
2015-10-09,2632300.0
2015-10-16,2640557.0
2015-10-23,2653233.0
2015-10-30,2664996.0
2015-11-06,2668903.0
2015-11-13,2682374.0
2015-11-20,2692443.0
2015-11-27,2706740.0
2015-12-04,2718650.0
2015-12-11,2731936.0
2015-12-18,2759255.0
2015-12-25,2767815.0
2016-01-01,2781145.0
