DATE,INFECTDISEMVTRACKD
2010-08-20,0.00000
2010-08-21,0.00000
2010-08-22,0.49000
2010-08-23,0.00000
2010-08-24,0.53000
2010-08-25,0.00000
2010-08-26,0.00000
2010-08-27,0.41000
2010-08-28,0.00000
2010-08-29,0.96000
2010-08-30,0.00000
2010-08-31,0.00000
2010-09-01,0.79000
2010-09-02,0.32000
2010-09-03,0.00000
2010-09-04,0.00000
2010-09-05,0.00000
2010-09-06,0.91000
2010-09-07,0.00000
2010-09-08,0.39000
2010-09-09,0.00000
2010-09-10,0.39000
2010-09-11,0.00000
2010-09-12,0.48000
2010-09-13,0.00000
2010-09-14,0.00000
2010-09-15,0.00000
2010-09-16,0.00000
2010-09-17,0.39000
2010-09-18,0.00000
2010-09-19,0.00000
2010-09-20,0.00000
2010-09-21,0.95000
2010-09-22,0.00000
2010-09-23,0.00000
2010-09-24,0.78000
2010-09-25,0.00000
2010-09-26,0.00000
2010-09-27,0.00000
2010-09-28,0.00000
2010-09-29,0.00000
2010-09-30,0.30000
2010-10-01,0.00000
2010-10-02,0.00000
2010-10-03,0.00000
2010-10-04,0.63000
2010-10-05,1.49000
2010-10-06,0.00000
2010-10-07,0.00000
2010-10-08,0.00000
2010-10-09,0.53000
2010-10-10,0.00000
2010-10-11,0.00000
2010-10-12,0.47000
2010-10-13,0.00000
2010-10-14,0.00000
2010-10-15,0.00000
2010-10-16,0.00000
2010-10-17,0.46000
2010-10-18,1.77000
2010-10-19,0.91000
2010-10-20,0.00000
2010-10-21,0.00000
2010-10-22,0.36000
2010-10-23,0.53000
2010-10-24,0.46000
2010-10-25,1.17000
2010-10-26,0.44000
2010-10-27,0.00000
2010-10-28,0.56000
2010-10-29,0.00000
2010-10-30,0.00000
2010-10-31,1.36000
2010-11-01,0.59000
2010-11-02,0.44000
2010-11-03,0.00000
2010-11-04,0.30000
2010-11-05,0.00000
2010-11-06,0.00000
2010-11-07,1.38000
2010-11-08,1.18000
2010-11-09,0.45000
2010-11-10,0.35000
2010-11-11,0.31000
2010-11-12,0.00000
2010-11-13,0.54000
2010-11-14,0.00000
2010-11-15,0.00000
2010-11-16,0.93000
2010-11-17,0.00000
2010-11-18,0.92000
2010-11-19,0.00000
2010-11-20,0.56000
2010-11-21,0.48000
2010-11-22,0.00000
2010-11-23,0.00000
2010-11-24,0.00000
2010-11-25,0.88000
2010-11-26,0.00000
2010-11-27,0.00000
2010-11-28,1.55000
2010-11-29,0.00000
2010-11-30,0.00000
2010-12-01,0.37000
2010-12-02,0.64000
2010-12-03,0.00000
2010-12-04,0.00000
2010-12-05,0.00000
2010-12-06,0.00000
2010-12-07,0.00000
2010-12-08,0.00000
2010-12-09,0.00000
2010-12-10,0.00000
2010-12-11,0.59000
2010-12-12,0.50000
2010-12-13,0.63000
2010-12-14,0.00000
2010-12-15,0.00000
2010-12-16,0.00000
2010-12-17,0.00000
2010-12-18,0.00000
2010-12-19,0.51000
2010-12-20,0.00000
2010-12-21,0.00000
2010-12-22,0.00000
2010-12-23,0.00000
2010-12-24,0.00000
2010-12-25,0.00000
2010-12-26,0.00000
2010-12-27,0.00000
2010-12-28,0.54000
2010-12-29,0.00000
2010-12-30,0.00000
2010-12-31,0.00000
2011-01-01,1.66000
2011-01-02,2.22000
2011-01-03,1.29000
2011-01-04,0.00000
2011-01-05,0.36000
2011-01-06,0.00000
2011-01-07,2.33000
2011-01-08,0.00000
2011-01-09,0.49000
2011-01-10,0.00000
2011-01-11,0.46000
2011-01-12,0.00000
2011-01-13,0.32000
2011-01-14,0.00000
2011-01-15,0.00000
2011-01-16,0.00000
2011-01-17,0.00000
2011-01-18,0.00000
2011-01-19,1.06000
2011-01-20,0.00000
2011-01-21,0.00000
2011-01-22,0.00000
2011-01-23,0.49000
2011-01-24,0.62000
2011-01-25,0.00000
2011-01-26,0.35000
2011-01-27,2.11000
2011-01-28,0.73000
2011-01-29,0.57000
2011-01-30,0.47000
2011-01-31,0.59000
2011-02-01,0.00000
2011-02-02,0.00000
2011-02-03,0.00000
2011-02-04,0.00000
2011-02-05,0.56000
2011-02-06,0.00000
2011-02-07,0.00000
2011-02-08,0.45000
2011-02-09,0.00000
2011-02-10,0.00000
2011-02-11,0.00000
2011-02-12,0.00000
2011-02-13,0.47000
2011-02-14,0.59000
2011-02-15,0.45000
2011-02-16,0.34000
2011-02-17,0.87000
2011-02-18,0.00000
2011-02-19,0.00000
2011-02-20,0.00000
2011-02-21,0.61000
2011-02-22,0.00000
2011-02-23,0.00000
2011-02-24,0.00000
2011-02-25,0.00000
2011-02-26,0.00000
2011-02-27,0.00000
2011-02-28,0.00000
2011-03-01,0.00000
2011-03-02,0.00000
2011-03-03,0.00000
2011-03-04,0.00000
2011-03-05,0.54000
2011-03-06,0.46000
2011-03-07,0.59000
2011-03-08,0.45000
2011-03-09,0.00000
2011-03-10,0.00000
2011-03-11,0.00000
2011-03-12,0.57000
2011-03-13,0.00000
2011-03-14,0.00000
2011-03-15,0.00000
2011-03-16,0.00000
2011-03-17,0.29000
2011-03-18,0.00000
2011-03-19,0.58000
2011-03-20,0.95000
2011-03-21,1.21000
2011-03-22,0.00000
2011-03-23,0.00000
2011-03-24,0.00000
2011-03-25,0.00000
2011-03-26,0.00000
2011-03-27,0.47000
2011-03-28,0.00000
2011-03-29,0.00000
2011-03-30,0.00000
2011-03-31,0.29000
2011-04-01,0.36000
2011-04-02,0.00000
2011-04-03,0.00000
2011-04-04,0.00000
2011-04-05,0.00000
2011-04-06,0.32000
2011-04-07,0.00000
2011-04-08,0.00000
2011-04-09,0.00000
2011-04-10,0.47000
2011-04-11,0.59000
2011-04-12,0.00000
2011-04-13,0.00000
2011-04-14,0.58000
2011-04-15,0.00000
2011-04-16,0.00000
2011-04-17,0.97000
2011-04-18,1.15000
2011-04-19,0.91000
2011-04-20,0.00000
2011-04-21,0.00000
2011-04-22,0.00000
2011-04-23,0.00000
2011-04-24,1.95000
2011-04-25,0.00000
2011-04-26,0.00000
2011-04-27,0.00000
2011-04-28,0.57000
2011-04-29,0.00000
2011-04-30,0.00000
2011-05-01,0.00000
2011-05-02,0.00000
2011-05-03,0.44000
2011-05-04,0.34000
2011-05-05,0.00000
2011-05-06,0.36000
2011-05-07,0.00000
2011-05-08,0.47000
2011-05-09,0.59000
2011-05-10,0.00000
2011-05-11,0.00000
2011-05-12,0.00000
2011-05-13,0.00000
2011-05-14,0.00000
2011-05-15,0.47000
2011-05-16,0.00000
2011-05-17,0.00000
2011-05-18,0.00000
2011-05-19,0.29000
2011-05-20,0.00000
2011-05-21,0.56000
2011-05-22,0.00000
2011-05-23,0.00000
2011-05-24,0.00000
2011-05-25,0.00000
2011-05-26,0.00000
2011-05-27,0.00000
2011-05-28,0.00000
2011-05-29,0.00000
2011-05-30,0.00000
2011-05-31,0.00000
2011-06-01,0.00000
2011-06-02,0.00000
2011-06-03,0.00000
2011-06-04,0.00000
2011-06-05,0.49000
2011-06-06,0.00000
2011-06-07,0.00000
2011-06-08,0.00000
2011-06-09,0.00000
2011-06-10,0.38000
2011-06-11,0.00000
2011-06-12,0.50000
2011-06-13,0.00000
2011-06-14,0.00000
2011-06-15,2.95000
2011-06-16,0.00000
2011-06-17,0.00000
2011-06-18,0.62000
2011-06-19,1.49000
2011-06-20,0.63000
2011-06-21,0.00000
2011-06-22,0.00000
2011-06-23,0.00000
2011-06-24,0.00000
2011-06-25,0.61000
2011-06-26,0.51000
2011-06-27,0.00000
2011-06-28,0.00000
2011-06-29,0.00000
2011-06-30,0.00000
2011-07-01,0.00000
2011-07-02,0.00000
2011-07-03,0.00000
2011-07-04,0.00000
2011-07-05,0.00000
2011-07-06,0.80000
2011-07-07,0.00000
2011-07-08,0.00000
2011-07-09,0.00000
2011-07-10,0.00000
2011-07-11,0.65000
2011-07-12,0.00000
2011-07-13,0.00000
2011-07-14,0.33000
2011-07-15,0.00000
2011-07-16,0.63000
2011-07-17,0.00000
2011-07-18,0.00000
2011-07-19,0.00000
2011-07-20,0.00000
2011-07-21,0.00000
2011-07-22,0.40000
2011-07-23,0.61000
2011-07-24,0.00000
2011-07-25,0.67000
2011-07-26,0.00000
2011-07-27,0.00000
2011-07-28,0.00000
2011-07-29,0.00000
2011-07-30,0.00000
2011-07-31,0.00000
2011-08-01,0.00000
2011-08-02,0.00000
2011-08-03,0.38000
2011-08-04,0.00000
2011-08-05,0.00000
2011-08-06,0.00000
2011-08-07,0.52000
2011-08-08,2.60000
2011-08-09,1.49000
2011-08-10,0.00000
2011-08-11,0.64000
2011-08-12,0.00000
2011-08-13,0.62000
2011-08-14,1.51000
2011-08-15,1.37000
2011-08-16,0.00000
2011-08-17,0.00000
2011-08-18,0.00000
2011-08-19,0.00000
2011-08-20,1.23000
2011-08-21,0.50000
2011-08-22,0.00000
2011-08-23,0.00000
2011-08-24,0.00000
2011-08-25,0.00000
