Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Comprar_EMA_7d_ET;Mantener_posicion_EMA_7d_ET;Vender_EMA_7d_ET;Comprar_HTTL_ET;Mantener_posicion_HTTL_ET;Vender_HTTL_ET;Comprar_PSAR_ET;Mantener_posicion_PSAR_ET;Vender_PSAR_ET
2014-07-03;638.0;645.7;646.4;633.6;4010.0;-1.19;0.0;1475.6;3.265;1936.0;633.6714285714286;27.47209815585554;626.2277301644986;608.4947435897436;665.0129375019321;632.6199999999994;600.2270624980667;582.3962107574272;90.16960865762309;23.2474582506451;634.4114285714285;577.8028571428572;16.196468750966357;1985.44;4485.93;17068.26;0;1;0;0;1;0;0;1;0
2014-07-04;624.0;638.0;642.2;623.0;3600.0;-2.21;0.0;1475.6;3.265;1936.0;630.6;8.573489401189697;625.6707976233739;607.0926999999999;652.3668058603012;637.1999999999995;622.0331941396978;588.004513896833;83.72892232493572;22.95835408988474;636.8257142857146;580.1314285714285;7.583402930150835;1985.44;4485.93;17068.26;0;0;1;0;1;0;0;1;0
2014-07-05;623.0;624.0;627.8;619.7;3250.0;-0.16;0.0;1475.6;3.265;1936.0;626.6142857142858;-3.66312410407;625.0030982175305;605.9379;653.8690125465896;634.7799999999995;615.6909874534094;593.1641527850863;77.74828501601175;21.8970430834644;638.9200000000001;581.7514285714285;9.544506273295056;1985.44;4485.93;17068.26;0;1;0;0;1;0;0;1;0
2014-07-06;626.7;623.0;629.4;622.7;2700.0;0.59;1.0;1475.6;3.265;1936.0;623.3714285714285;6.637700463286805;625.4273236631478;605.7166666666667;649.2660169797746;631.4799999999993;613.6939830202241;597.9110205622794;73.79483608629664;20.811540006074072;642.1657142857141;581.8057142857143;8.893008489887638;1985.44;4485.93;17068.26;1;0;0;0;1;0;0;1;0
2014-07-07;613.6;626.7;627.9;607.3;2530.0;-2.08;0.0;1472.0;3.248;1919.5;620.5714285714286;-19.79797980882212;622.4704927473608;606.2400724637682;640.7273418295638;625.0599999999994;609.392658170435;602.278138917297;68.52377636584689;20.79643000564021;639.6114285714286;587.5599999999997;7.833670914782221;1977.65;4451.53;17024.21;0;0;1;0;1;0;0;1;0
2014-07-08;615.3;613.6;619.7;609.3;3210.0;0.28;1.0;1471.4;3.243;1938.0;621.842857142857;-7.481585250998745;620.6778695605205;607.3161231884059;630.7801364515738;620.5199999999993;610.2598635484248;606.2958878039133;63.629220911143534;20.0538278623802;636.5114285714285;594.4457142857143;5.130068225787233;1963.71;4391.46;16906.62;0;1;0;0;1;0;0;1;0
2014-07-09;623.0;615.3;623.8;610.5;3070.0;1.25;1.0;1479.7;3.236;1937.75;623.6857142857143;-28.497741713583927;621.2584021703904;608.5946541501977;630.3371053705454;620.3199999999994;610.3028946294534;607.3;63.18427656034748;19.57141158649589;631.7342857142859;607.0085714285714;5.008552685273002;1972.83;4419.03;16985.61;1;0;0;0;1;0;0;1;0
2014-07-10;618.4;623.0;625.0;611.7;3610.0;-0.74;0.0;1494.7;3.256;1922.25;623.8714285714285;17.672098155855586;620.5438016277927;609.7855985319029;629.1036075767896;619.3999999999994;609.6963924232092;609.3;59.87111394889413;19.1234536160319;626.245714285714;617.597142857143;4.851803788395094;1964.68;4396.2;16915.07;0;0;1;0;1;0;0;1;0
2014-07-11;632.9;618.4;633.6;616.1;3120.0;2.35;1.0;1492.9;3.259;1939.0;624.5428571428571;23.53063225833261;623.6328512208445;611.2930905326558;634.4666988108125;620.6399999999993;606.8133011891861;610.5;64.19460580968743;19.0074926434582;626.2514285714283;621.9771428571432;6.913349405406599;1967.57;4415.49;16943.81;1;0;0;0;1;0;0;1;0
2014-07-12;635.9;632.9;638.6;625.9;3430.0;0.47;1.0;1492.9;3.259;1939.0;625.1571428571428;10.69401875307289;626.6996384156333;613.1923506493507;641.1703453604671;625.0999999999993;609.0296546395316;611.7;64.60927682328119;18.55695745463976;625.4942857142858;628.2057142857141;8.035172680233897;1967.57;4415.49;16943.81;0;1;0;0;1;0;0;1;0
2014-07-13;628.0;635.9;638.6;627.5;1700.0;-1.24;0.0;1492.9;3.259;1939.0;623.9857142857143;7.323414749001003;627.024728811725;615.1570238095239;640.3814912786648;627.6399999999994;614.898508721334;614.964;59.99432847876111;18.0243176364512;622.1114285714282;635.4314285714288;6.370745639332729;1967.57;4415.49;16943.81;0;1;0;0;1;0;0;1;0
2014-07-14;618.3;628.0;629.0;616.1;2550.0;-1.55;0.0;1460.7;3.239;1938.5;625.1571428571428;-19.68369409453648;624.8435466087938;618.0378333333335;641.2387757395138;626.6999999999995;612.1612242604851;652.5;55.70901930170674;17.658294948133257;620.3228571428573;634.8199999999998;7.269387869757144;1977.1;4440.42;17055.42;0;0;1;0;1;0;0;0;1
2014-07-15;619.6;618.3;624.4;617.3;3690.0;0.21;1.0;1451.3;3.239;1960.0;624.3857142857142;-5.724442393855878;623.5326599565954;620.6583421052634;640.9529083349729;626.9399999999994;612.9270916650258;651.772;51.72980363729911;16.904131023266597;620.5057142857137;631.2657142857145;7.006454167486743;1973.28;4416.39;17060.68;0;1;0;0;0;1;0;1;0
2014-07-16;614.8;619.6;622.4;614.2;3000.0;-0.77;0.0;1454.9;3.205;1970.5;623.1142857142858;-36.12631314215542;621.3494949674465;623.0977982456142;638.5984292387784;623.3199999999994;608.0415707612203;651.05856;48.03481766320632;16.28240737874755;620.4857142857138;626.8714285714286;7.639214619389508;1981.57;4425.97;17138.2;0;1;0;0;1;0;0;1;0
2014-07-17;626.6;614.8;632.5;610.0;2920.0;1.92;1.0;1472.1;3.209;1990.0;622.1142857142856;27.6292410129985;622.6621212255849;625.101754385965;631.5393650595875;621.4599999999994;611.3806349404113;649.5842176000001;54.703759258691605;16.72652113740844;623.282857142857;622.4457142857146;5.039682529794058;1958.12;4363.45;16976.81;1;0;0;1;0;0;0;1;0
2014-07-18;627.5;626.6;630.2;617.9;3350.0;0.14;1.0;1464.7;3.174;1982.75;623.0857142857142;19.587775115475544;623.8715909191886;625.9769883040937;631.18454070195;621.3599999999993;611.5354592980486;647.2091645440001;50.79634788307077;16.410341056164985;624.6371428571433;621.5914285714283;4.912270350975341;1978.22;4432.15;17100.18;0;1;0;0;1;0;0;1;0
2014-07-19;627.0;627.5;634.1;625.1;3960.0;-0.07;0.0;1464.7;3.174;1982.75;623.5;3.451161610215756;624.6536931893914;625.5099019607843;633.2177072504046;623.0999999999992;612.9822927495939;644.9766146713602;51.06803731999427;15.88103098072463;625.6200000000008;621.1799999999996;5.058853625202705;1978.22;4432.15;17100.18;0;1;0;0;1;0;0;1;0
2014-07-20;621.0;627.0;627.9;620.0;2300.0;-0.97;0.0;1464.7;3.174;1982.75;624.4857142857143;-0.1765852509989969;623.7402698920436;624.5399673202614;633.1668483182561;623.3799999999993;613.5931516817425;642.8780177910785;47.42032036856611;15.310957339244297;625.4742857142861;620.5114285714284;4.893424159128394;1978.22;4432.15;17100.18;0;0;1;0;0;1;0;1;0
2014-07-21;625.1;621.0;625.9;615.0;2530.0;0.67;1.0;1469.6;3.187;2021.0;620.9571428571429;-8.68369409453648;624.0802024190327;623.8055228758169;630.1603389713334;625.4399999999994;620.7196610286653;640.9053367236138;44.03315462795425;14.9958889578697;624.674285714286;622.9542857142854;2.360169485667019;1973.63;4424.7;17051.73;1;0;0;1;0;0;0;1;0
2014-07-22;622.5;625.1;628.8;620.0;3280.0;-0.42;0.0;1461.6;3.196;2044.5;617.0999999999999;4.461271891858433;623.6851518142746;623.4041176470587;629.6628563339016;624.6199999999993;619.5771436660971;639.051016520197;43.787929297386064;14.553325460879003;623.1200000000008;625.5371428571425;2.5214281669511025;1983.53;4456.02;17113.54;0;0;1;0;0;1;0;1;0
