Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;EMA_7d_ET;HTTL_ET;PSAR_ET;Trend;Residuals
2010-07-18;0.1;0.0;0.1;0.1;80.0;0.0;0.0;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;;
2010-07-19;0.1;0.1;0.1;0.1;570.0;0.0;0.0;;;;;;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;;
2010-07-20;0.1;0.1;0.1;0.1;260.0;0.0;0.0;;;;;;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;;
2010-07-21;0.1;0.1;0.1;0.1;580.0;0.0;0.0;;;;;;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-07-22;0.1;0.1;0.1;0.1;2160.0;0.0;0.0;;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-07-23;0.1;0.1;0.1;0.1;2400.0;0.0;0.0;;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-07-24;0.1;0.1;0.1;0.1;500.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
2010-07-25;0.1;0.1;0.1;0.1;1550.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;3.979104706265843
2010-07-26;0.1;0.1;0.1;0.1;880.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-8.917886183738732
2010-07-27;0.1;0.1;0.1;0.1;3370.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-1.1506861837385767
2010-07-28;0.1;0.1;0.1;0.1;4390.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-07-29;0.1;0.1;0.1;0.1;8060.000000000001;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-07-30;0.1;0.1;0.1;0.1;3020.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-07-31;0.1;0.1;0.1;0.1;4020.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
2010-08-01;0.1;0.1;0.1;0.1;2600.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;3.979104706265843
2010-08-02;0.1;0.1;0.1;0.1;3600.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-8.917886183738732
2010-08-03;0.1;0.1;0.1;0.1;9820.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-1.1506861837385767
2010-08-04;0.1;0.1;0.1;0.1;3490.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-08-05;0.1;0.1;0.1;0.1;5030.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-08-06;0.1;0.1;0.1;0.1;1400.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-08-07;0.1;0.1;0.1;0.1;2620.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
2010-08-08;0.1;0.1;0.1;0.1;2200.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;3.979104706265843
2010-08-09;0.1;0.1;0.1;0.1;13630.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-8.917886183738732
2010-08-10;0.1;0.1;0.1;0.1;1310.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-1.1506861837385767
2010-08-11;0.1;0.1;0.1;0.1;14060.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-08-12;0.1;0.1;0.1;0.1;2060.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-08-13;0.1;0.1;0.1;0.1;3590.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-08-14;0.1;0.1;0.1;0.1;4400.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
2010-08-15;0.1;0.1;0.1;0.1;4460.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;3.979104706265843
2010-08-16;0.1;0.1;0.1;0.1;10730.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-8.917886183738732
2010-08-17;0.1;0.1;0.1;0.1;13190.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-1.1506861837385767
2010-08-18;0.1;0.1;0.1;0.1;2950.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-08-19;0.1;0.1;0.1;0.1;740.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-08-20;0.1;0.1;0.1;0.1;4200.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-08-21;0.1;0.1;0.1;0.1;10440.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
2010-08-22;0.1;0.1;0.1;0.1;18650.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;3.979104706265843
2010-08-23;0.1;0.1;0.1;0.1;4300.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-8.917886183738732
2010-08-24;0.1;0.1;0.1;0.1;6710.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-1.1506861837385767
2010-08-25;0.1;0.1;0.1;0.1;4230.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-08-26;0.1;0.1;0.1;0.1;3870.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-08-27;0.1;0.1;0.1;0.1;9010.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-08-28;0.1;0.1;0.1;0.1;6170.0;0.0;0.0;0.0999999999999999;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
