Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;ADX;ADX_MDI;ADX_MDM;ADX_DX;ADX_PDI;ADX_PDM;Aroon_Oscillator;MACD;MACDSIGNAL;MACDHIST;MOM;ROC;RSI;STOCHRSI_fastk;ULTOSC;WILLR;ADX_ET;ADXR_ET;MACD_ET;ROC_ET;STOCHRSI_fastk_ET;Trend;Residuals
2010-07-18;0.1;0.0;0.1;0.1;80.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;;
2010-07-19;0.1;0.1;0.1;0.1;570.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;;
2010-07-20;0.1;0.1;0.1;0.1;260.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;;
2010-07-21;0.1;0.1;0.1;0.1;580.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-07-22;0.1;0.1;0.1;0.1;2160.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-07-23;0.1;0.1;0.1;0.1;2400.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-07-24;0.1;0.1;0.1;0.1;500.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
2010-07-25;0.1;0.1;0.1;0.1;1550.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;3.979104706265843
2010-07-26;0.1;0.1;0.1;0.1;880.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-8.917886183738732
2010-07-27;0.1;0.1;0.1;0.1;3370.0;0.0;0.0;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-1.1506861837385767
2010-07-28;0.1;0.1;0.1;0.1;4390.0;0.0;0.0;;;;;;;;;;;0.0;0.0;0.0;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-07-29;0.1;0.1;0.1;0.1;8060.000000000001;0.0;0.0;;;;;;;;;;;0.0;0.0;0.0;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-07-30;0.1;0.1;0.1;0.1;3020.0;0.0;0.0;;;;;;;;;;;0.0;0.0;0.0;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-07-31;0.1;0.1;0.1;0.1;4020.0;0.0;0.0;;;;;;0.0;;;;;0.0;0.0;0.0;;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
2010-08-01;0.1;0.1;0.1;0.1;2600.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;3.979104706265843
2010-08-02;0.1;0.1;0.1;0.1;3600.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-8.917886183738732
2010-08-03;0.1;0.1;0.1;0.1;9820.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-1.1506861837385767
2010-08-04;0.1;0.1;0.1;0.1;3490.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-19.57523121340544
2010-08-05;0.1;0.1;0.1;0.1;5030.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;15.128693934928641
2010-08-06;0.1;0.1;0.1;0.1;1400.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;10.352267645563012
2010-08-07;0.1;0.1;0.1;0.1;2620.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;0.1837372941252513
2010-08-08;0.1;0.1;0.1;0.1;2200.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;3.979104706265843
2010-08-09;0.1;0.1;0.1;0.1;13630.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;;0.0;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;0.1;-8.917886183738732
