"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2022","18.698","18.695","18.747","18.675","-","0.03%"
"Jul 19, 2022","18.692","18.582","18.837","18.508","-","0.27%"
"Jul 18, 2022","18.642","18.688","18.938","18.587","-","-0.25%"
"Jul 17, 2022","18.688","18.668","18.712","18.640","-","0.27%"
"Jul 15, 2022","18.637","18.375","18.692","18.098","-","1.47%"
"Jul 14, 2022","18.367","19.080","19.125","18.012","-","-3.74%"
"Jul 13, 2022","19.080","18.843","19.360","18.788","-","1.26%"
"Jul 12, 2022","18.843","19.040","19.135","18.663","-","-1.05%"
"Jul 11, 2022","19.043","19.265","19.308","19.012","-","-1.16%"
"Jul 10, 2022","19.267","19.218","19.297","19.215","-","0.16%"
"Jul 08, 2022","19.236","19.170","19.390","18.935","-","0.25%"
"Jul 07, 2022","19.188","19.170","19.435","19.035","42.48K","0.15%"
"Jul 06, 2022","19.159","19.155","19.325","18.705","66.25K","0.20%"
"Jul 05, 2022","19.121","19.880","20.100","18.970","85.00K","-4.10%"
"Jul 04, 2022","19.938","19.788","19.953","19.677","-","0.80%"
"Jul 03, 2022","19.780","19.867","19.913","19.777","-","0.57%"
"Jul 01, 2022","19.667","20.290","20.290","19.295","75.67K","-3.37%"
"Jun 30, 2022","20.352","20.725","20.785","20.145","61.10K","-1.86%"
"Jun 29, 2022","20.738","20.840","21.065","20.610","53.00K","-0.64%"
"Jun 28, 2022","20.872","21.195","21.370","20.800","41.10K","-1.49%"
"Jun 27, 2022","21.187","21.245","21.575","21.125","34.89K","-0.01%"
"Jun 26, 2022","21.190","21.260","21.275","21.185","-","0.15%"
"Jun 24, 2022","21.159","20.980","21.245","20.600","29.80K","0.32%"
"Jun 23, 2022","21.091","21.475","21.560","20.935","29.60K","-1.89%"
"Jun 22, 2022","21.497","21.735","21.760","21.285","23.26K","-1.62%"
"Jun 21, 2022","21.851","21.625","22.030","21.525","20.04K","1.27%"
"Jun 20, 2022","21.578","21.617","21.727","21.438","-","-0.17%"
"Jun 19, 2022","21.615","21.507","21.628","21.507","-","-0.30%"
"Jun 17, 2022","21.681","22.060","22.060","21.655","13.28K","-1.34%"
"Jun 16, 2022","21.975","21.770","22.065","21.400","14.25K","2.20%"
"Jun 15, 2022","21.502","21.085","21.920","21.060","17.10K","2.19%"
"Jun 14, 2022","21.042","21.125","21.450","20.935","16.63K","-1.43%"
"Jun 13, 2022","21.348","22.110","22.125","21.005","22.05K","-2.73%"
"Jun 12, 2022","21.948","22.008","22.040","21.902","-","-0.35%"
"Jun 10, 2022","22.024","21.815","22.105","21.355","17.75K","0.52%"
"Jun 09, 2022","21.910","22.165","22.225","21.640","20.06K","-1.26%"
"Jun 08, 2022","22.190","22.355","22.370","21.895","13.46K","-0.38%"
"Jun 07, 2022","22.275","22.180","22.385","21.940","18.29K","0.40%"
"Jun 06, 2022","22.187","22.040","22.655","22.020","7.51K","1.22%"
"Jun 05, 2022","21.920","21.940","21.962","21.900","-","-0.36%"
"Jun 03, 2022","21.999","22.450","22.610","21.965","2.81K","-1.64%"
"Jun 02, 2022","22.366","21.960","22.465","21.890","3.40K","1.63%"
"Jun 01, 2022","22.007","21.625","22.085","21.510","6.51K","1.04%"
"May 31, 2022","21.781","22.210","22.385","21.560","4.10K","-0.67%"
"May 30, 2022","21.927","22.057","22.312","21.915","-","-0.58%"
"May 29, 2022","22.054","22.093","22.115","22.029","-","-0.62%"
"May 27, 2022","22.191","22.125","22.560","22.035","3.09K","0.60%"
"May 26, 2022","22.059","22.080","22.150","21.820","3.05K","0.44%"
"May 25, 2022","21.963","22.230","22.230","21.820","3.08K","-0.87%"
"May 24, 2022","22.156","21.855","22.305","21.770","2.60K","1.56%"
"May 23, 2022","21.816","21.900","22.295","21.755","2.90K","0.05%"
"May 22, 2022","21.805","21.818","21.858","21.769","-","0.17%"
"May 20, 2022","21.768","22.040","22.150","21.680","2.07K","-1.06%"
"May 19, 2022","22.002","21.440","22.080","21.350","1.99K","1.69%"
"May 18, 2022","21.637","21.740","21.805","21.485","2.06K","-0.92%"
"May 17, 2022","21.839","21.680","21.995","21.615","2.19K","0.92%"
"May 16, 2022","21.640","21.190","21.760","20.950","1.33K","1.96%"
"May 15, 2022","21.223","21.175","22.164","21.133","-","0.63%"
"May 13, 2022","21.090","20.805","21.185","20.525","2.00K","1.07%"
"May 12, 2022","20.866","21.585","21.715","20.700","4.31K","-3.72%"
"May 11, 2022","21.673","21.360","22.050","21.300","4.14K","0.72%"
"May 10, 2022","21.518","21.860","22.170","21.255","2.87K","-1.82%"
"May 09, 2022","21.918","22.435","22.455","21.765","2.59K","-1.65%"
"May 08, 2022","22.285","22.390","22.419","22.280","-","-0.79%"
"May 06, 2022","22.462","22.610","22.745","22.215","2.13K","-0.35%"
"May 05, 2022","22.540","23.110","23.400","22.445","3.14K","0.20%"
"May 04, 2022","22.496","22.700","23.210","22.320","2.50K","-1.10%"
"May 03, 2022","22.747","22.765","22.965","22.525","1.38K","0.40%"
"May 02, 2022","22.657","22.840","22.920","22.210","1.34K","-0.74%"
