Time,bit-x,bitfinex,bitstamp,btce,coinbase,itbit,kraken,mtgox,okcoin,others
2011-08-23 00:00:00 UTC,,,,,,,,6561.88063955161,,800.439832076865
2011-08-24 00:00:00 UTC,,,,,,,,7413.80484113449,,807.369418030952
2011-08-25 00:00:00 UTC,,,,,,,,7622.34582121941,,883.686245475958
2011-08-26 00:00:00 UTC,,,,,,,,6435.82909524813,,1876.340986032787
2011-08-27 00:00:00 UTC,,,,,,,,10443.3846691294,,2308.927657024745
2011-08-28 00:00:00 UTC,,,,,,,,10099.6455603065,,2227.339565747561
2011-08-29 00:00:00 UTC,,,,,,,,7610.0673633225,,2293.6301165700397
2011-08-30 00:00:00 UTC,,,,,,,,8468.99665140423,,2388.99757324267
2011-08-31 00:00:00 UTC,,,,,,,,6244.6467869877,,2516.31027941881
2011-09-01 00:00:00 UTC,,,,,,,,5900.50648338037,,1977.4245837575231
2011-09-02 00:00:00 UTC,,,,,,,,6781.8947553007,,1787.1495392237289
2011-09-03 00:00:00 UTC,,,,,,,,5715.92003500764,,1830.8894071676032
2011-09-04 00:00:00 UTC,,,,,,,,4438.4805785144,,1847.989188707425
2011-09-05 00:00:00 UTC,,,,,,,,3919.22616234165,,1888.255273513685
2011-09-06 00:00:00 UTC,,,,,,,,3043.85450892027,,2658.21123161489
2011-09-07 00:00:00 UTC,,,,,,,,3636.39418472012,,2797.87393926765
2011-09-08 00:00:00 UTC,,,,,,,,4177.25622831807,,1921.212400618359
2011-09-09 00:00:00 UTC,,,,,,,,2819.01732027154,,1370.48987110137
2011-09-10 00:00:00 UTC,,,,,,,,2798.28066288598,,1532.51822978964
2011-09-11 00:00:00 UTC,,,,,,,,2374.84616352286,,1437.909080093644
2011-09-12 00:00:00 UTC,,,,,,,,4878.18719545666,,1432.323061369293
2011-09-13 00:00:00 UTC,,,,,,,,4289.48477728799,,1554.541168692056
2011-09-14 00:00:00 UTC,,,,,,,,6403.34375261846,,2160.037570134629
2011-09-15 00:00:00 UTC,,,,,,,,8533.73423747516,,2569.669907993351
2011-09-16 00:00:00 UTC,,,,,,,,15515.91346067,,2465.935577511154
2011-09-17 00:00:00 UTC,,,,,,,,15228.6484022599,,2133.2383179112703
2011-09-18 00:00:00 UTC,,,,,,,,11858.7560058325,,528.841436266762
2011-09-19 00:00:00 UTC,,,,,,,,5879.15196968129,,1747.5015803466858
2011-09-20 00:00:00 UTC,,,,,,,,4367.97964504708,,1490.453085978288
2011-09-21 00:00:00 UTC,,,,,,,,4538.00740470809,,1502.46014349173
2011-09-22 00:00:00 UTC,,,,,,,,4849.55770745859,,1544.72915842531
2011-09-23 00:00:00 UTC,,,,,,,,5237.76821617612,,1964.971326309686
2011-09-24 00:00:00 UTC,,,,,,,,5396.7919450839,,1855.43373667334
2011-09-25 00:00:00 UTC,,,,,,,,5641.91007488446,,1762.486031342638
2011-09-26 00:00:00 UTC,,,,,,,,5614.34694580968,,1878.889084257281
2011-09-27 00:00:00 UTC,,,,,,,,6861.75914341284,,1879.731436035735
2011-09-28 00:00:00 UTC,,,,,,,,6960.78293664201,,1868.809813882229
2011-09-29 00:00:00 UTC,,,,,,,,6679.81200997438,,1927.577585957828
2011-09-30 00:00:00 UTC,,,,,,,,6500.54626759479,,1815.201509944991
2011-10-01 00:00:00 UTC,,,,,,,,7164.77959005411,,1712.591457261462
2011-10-02 00:00:00 UTC,,,,,,,,7412.64798953881,,1539.70911107713
2011-10-03 00:00:00 UTC,,,,,,,,7134.18892390403,,1525.658768250143
2011-10-04 00:00:00 UTC,,,,,,,,7335.84655267056,,1475.407178430821
2011-10-05 00:00:00 UTC,,,,,,,,7394.84559895566,,1445.754451799387
2011-10-06 00:00:00 UTC,,,,,,,,7802.35251185042,,1417.079007034404
2011-10-07 00:00:00 UTC,,,,,,,,7128.93782988048,,1849.45296030679
2011-10-08 00:00:00 UTC,,,,,,,,3141.9821574805,,2762.993067034158
2011-10-09 00:00:00 UTC,,,,,,,,3992.93453902799,,2370.461260754119
2011-10-10 00:00:00 UTC,,,,,,,,4234.56214713923,,2369.545135923902
2011-10-11 00:00:00 UTC,,,,,,,,4553.2511557786,,2383.850529884648
2011-10-12 00:00:00 UTC,,,,,,,,4255.86068760364,,1720.2354174294019
2011-10-13 00:00:00 UTC,,,,,,,,4763.59243686149,,1519.7265677819569
2011-10-14 00:00:00 UTC,,,,,,,,5237.71947071835,,2234.591643720075
2011-10-15 00:00:00 UTC,,,,,,,,7472.7087674966,,1628.713682441448
2011-10-16 00:00:00 UTC,,,,,,,,8962.29432076426,,1778.6815963297759
2011-10-17 00:00:00 UTC,,,,,,,,6937.48944935215,,2774.732408703153
2011-10-18 00:00:00 UTC,,,,,,,,7105.00848321844,,2610.8072754825957
2011-10-19 00:00:00 UTC,,,,,,,,7349.25874295698,,2335.364050317432
2011-10-20 00:00:00 UTC,,,,,,,,8804.56395743853,,2789.9774938367614
2011-10-21 00:00:00 UTC,,,,,,,,5739.93334507581,,2441.7649363890328
2011-10-22 00:00:00 UTC,,,,,,,,5604.92996015636,,1683.977306233508
2011-10-23 00:00:00 UTC,,,,,,,,8059.05091460306,,1506.40710035273
2011-10-24 00:00:00 UTC,,,,,,,,7091.24878696493,,1817.515430052024
2011-10-25 00:00:00 UTC,,,,,,,,5707.00470031623,,1939.483864061055
2011-10-26 00:00:00 UTC,,,,,,,,8350.75780135522,,2351.993303521169
2011-10-27 00:00:00 UTC,,,,,,,,7691.57352833453,,2006.5187906668689
2011-10-28 00:00:00 UTC,,,,,,,,5803.1270047874,,1553.35334452392
2011-10-29 00:00:00 UTC,,,,,,,,3805.68684940702,,1328.450745588625
2011-10-30 00:00:00 UTC,,,,,,,,4159.55377785009,,1130.844194417682
2011-10-31 00:00:00 UTC,,,,,,,,4950.21531256621,,1453.2697176372951
2011-11-01 00:00:00 UTC,,,,,,,,5439.46949495061,,1395.080156346679
2011-11-02 00:00:00 UTC,,,,,,,,5933.39003312284,,1185.288112767704
2011-11-03 00:00:00 UTC,,,,,,,,6020.09709710761,,2234.541759809537
2011-11-04 00:00:00 UTC,,,,,,,,6608.93488255957,,4630.33530133615
2011-11-05 00:00:00 UTC,,,,,,,,6613.06555137418,,4465.230577412158
2011-11-06 00:00:00 UTC,,,,,,,,6479.18813098373,,4810.548078861994
2011-11-07 00:00:00 UTC,,,,,,,,6943.2391609578,,18723.054788222373
2011-11-08 00:00:00 UTC,,,,,,,,17873.5642545268,,10839.939407311824
2011-11-09 00:00:00 UTC,,,,,,,,11738.2448583613,,4202.174932291246
2011-11-10 00:00:00 UTC,,,,,,,,11665.152166936,,3234.93219823125
2011-11-11 00:00:00 UTC,,,,,,,,10047.7743418424,,3381.390576481646
2011-11-12 00:00:00 UTC,,,,,,,,7869.79719203596,,3055.7901718676508
2011-11-13 00:00:00 UTC,,,,,,,,7073.82247697493,,3195.137626372618
2011-11-14 00:00:00 UTC,,,,,,,,12978.2599825532,,3687.339748328826
2011-11-15 00:00:00 UTC,,,,,,,,9228.63828935568,,3925.8905728671693
2011-11-16 00:00:00 UTC,,,,,,,,16387.2687330267,,3491.323102899451
2011-11-17 00:00:00 UTC,,,,,,,,11512.6482500003,,3473.449653409323
2011-11-18 00:00:00 UTC,,,,,,,,10520.1671116465,,2599.08411720428
2011-11-19 00:00:00 UTC,,,,,,,,12264.8753957676,,3528.7967008305422
2011-11-20 00:00:00 UTC,,,,,,,,11078.1936174458,,7515.087664961156
2011-11-21 00:00:00 UTC,,,,,,,,13067.7982886822,,7146.63607384717
2011-11-22 00:00:00 UTC,,,,,,,,13363.5153691964,,6361.122022775701
2011-11-23 00:00:00 UTC,,,,,,,,,,6087.716040739544
2011-11-24 00:00:00 UTC,,,,,,,,,,5320.035511920354
2011-11-25 00:00:00 UTC,,,,,,,,,,4090.787003017658
2011-11-26 00:00:00 UTC,,,,,,,,,,3738.991036562982
2011-11-27 00:00:00 UTC,,,,,,,,,,2934.773034818185
2011-11-28 00:00:00 UTC,,,,,,,,,,1801.3903839513491
2011-11-29 00:00:00 UTC,,,,,,,,,,1623.8954349284281
2011-11-30 00:00:00 UTC,,,,,,,,,,1772.89742039039
2011-12-04 00:00:00 UTC,,,,,,,,32850.9857490651,,1414.33815945532
2011-12-05 00:00:00 UTC,,,,,,,,33133.5194993021,,1609.25838982938
2011-12-06 00:00:00 UTC,,,,,,,,40065.4427277283,,1554.5675726803302
2011-12-07 00:00:00 UTC,,,,,,,,39383.5556694329,,1553.672189817475
2011-12-08 00:00:00 UTC,,,,,,,,39126.6372203338,,1447.7455105544338
2011-12-09 00:00:00 UTC,,,,,,,,32634.620126315,,1973.3384473362191
2011-12-10 00:00:00 UTC,,,,,,,,33187.6364870211,,1688.6933978549519
2011-12-11 00:00:00 UTC,,,,,,,,39996.0124734576,,1569.461349093055
2011-12-12 00:00:00 UTC,,,,,,,,36207.1797775105,,1688.557847423702
2011-12-13 00:00:00 UTC,,,,,,,,39113.5707456659,,1435.748765635505
2011-12-14 00:00:00 UTC,,,,,,,,45450.7324636367,,1237.9338837582059
2011-12-15 00:00:00 UTC,,,,,,,,50440.7356694924,,1145.99211458648
2011-12-16 00:00:00 UTC,,,,,,,,51853.1237163501,,1200.520483886366
2011-12-17 00:00:00 UTC,,,,,,,,49934.1685211511,,1212.299517012106
2011-12-18 00:00:00 UTC,,,,,,,,48032.6789609148,,1324.016314515466
2011-12-19 00:00:00 UTC,,,,,,,,52596.2001149675,,1294.6378889664138
2011-12-20 00:00:00 UTC,,,,,,,,42018.0701934055,,1277.385340429551
2012-06-30 00:00:00 UTC,,,,,,,,27203.1261520628,,
2012-07-01 00:00:00 UTC,,,,,,,,24646.8031072807,,
2012-07-02 00:00:00 UTC,,,,,,,,28106.4075767491,,
2012-07-03 00:00:00 UTC,,,,,,,,41151.7604332331,,
2012-07-04 00:00:00 UTC,,,,,,,,35438.0694889615,,
2012-07-05 00:00:00 UTC,,,,,,,,40040.8466045695,,
2012-07-06 00:00:00 UTC,,,,,,,,38291.5943395326,,
2012-07-07 00:00:00 UTC,,,,,,,,51140.1156872931,,
2012-07-08 00:00:00 UTC,,,,11951.3678714675,,,,34535.9583487702,,
2012-07-09 00:00:00 UTC,,,,,,,,62263.3999503686,,
2012-07-10 00:00:00 UTC,,,,,,,,38536.7793088621,,
2012-07-11 00:00:00 UTC,,,,,,,,42491.919792558,,
2012-07-14 00:00:00 UTC,,,,783.153520514944,,,,33771.574168766,,
2012-07-15 00:00:00 UTC,,,,7700.63823977479,,,,31565.7854564012,,
2012-07-16 00:00:00 UTC,,,,6226.45403569382,,,,38980.4230024649,,
2012-07-17 00:00:00 UTC,,,,2253.67719871331,,,,37189.9123489288,,
2012-07-18 00:00:00 UTC,,,,,,,,32690.8310401769,,
